cell_id,time_step,gene_1_mRNA,gene_1_protein,gene_2_mRNA,gene_2_protein,replicate,clone_id
9,31,1,31959,3,65345,1,9
9,32,2,32412,2,65434,1,9
9,33,0,32564,2,65759,1,9
9,34,0,32111,1,65769,1,9
9,35,0,31602,1,65291,1,9
9,36,0,31147,1,64847,1,9
9,37,0,30672,1,64456,1,9
9,38,0,30178,2,64193,1,9
9,39,0,29716,4,65364,1,9
9,40,0,29278,4,66600,1,9
9,41,0,28831,3,67312,1,9
9,42,0,28398,4,68073,1,9
9,43,0,27958,4,69139,1,9
9,44,0,27541,3,70102,1,9
9,45,0,27138,4,70805,1,9
9,46,1,27174,4,72013,1,9
9,47,1,27290,4,73120,1,9
9,48,1,27459,4,74214,1,9
10,0,0,23315,4,73026,1,10
10,1,0,22951,4,74053,1,10
10,2,0,22574,5,75564,1,10
10,3,0,22265,5,77185,1,10
10,4,0,21926,4,78371,1,10
10,5,1,22132,5,79972,1,10
10,6,2,22812,5,81150,1,10
10,7,2,23577,4,82235,1,10
10,8,2,24280,4,83174,1,10
10,9,2,24986,3,83955,1,10
10,10,2,25715,3,84242,1,10
10,11,2,26419,2,84590,1,10
10,12,2,27187,1,84243,1,10
10,13,2,27899,1,83489,1,10
10,14,0,27860,1,82783,1,10
10,15,0,27452,1,82030,1,10
10,16,0,27050,1,81303,1,10
10,17,0,26633,0,80410,1,10
10,18,0,26203,1,79765,1,10
10,19,0,25808,1,79106,1,10
10,20,0,25447,7,79838,1,10
10,21,0,25035,7,82521,1,10
10,22,3,24876,5,84764,1,10
10,23,3,26213,6,86442,1,10
10,24,3,27501,6,88404,1,10
10,25,3,28789,5,90319,1,10
10,26,1,29168,6,92126,1,10
10,27,0,29219,7,94130,1,10
10,28,0,28808,7,96512,1,10
10,29,0,28379,7,98966,1,10
10,30,0,27888,7,101641,1,10
10,31,0,27477,5,103683,1,10
10,32,0,27099,7,105416,1,10
10,33,0,26668,7,108049,1,10
10,34,0,26250,9,110965,1,10
10,35,0,25852,8,113872,1,10
10,36,0,25515,7,116379,1,10
10,37,0,25153,6,117963,1,10
10,38,0,24780,5,119194,1,10
10,39,1,24880,5,120215,1,10
10,40,1,25041,5,121335,1,10
10,41,1,25198,5,122304,1,10
10,42,1,25411,3,123182,1,10
10,43,0,25117,4,123166,1,10
10,44,0,24725,3,123270,1,10
10,45,0,24356,2,123056,1,10
10,46,0,23976,2,122333,1,10
10,47,0,23595,1,121179,1,10
10,48,0,23239,0,119638,1,10
11,0,0,38020,6,125387,1,11
11,1,0,37448,4,126045,1,11
11,2,0,36881,4,126244,1,11
11,3,2,36550,3,126507,1,11
11,4,1,36992,2,125718,1,11
11,5,1,37002,1,124418,1,11
11,6,1,36995,1,123032,1,11
11,7,1,37015,1,121723,1,11
11,8,1,36934,1,120421,1,11
11,9,1,36952,3,119434,1,11
11,10,1,36922,3,119233,1,11
11,11,1,36891,3,119025,1,11
11,12,1,36908,2,118605,1,11
11,13,1,36904,3,118173,1,11
11,14,0,36579,2,117604,1,11
11,15,1,36517,3,117285,1,11
11,16,1,36506,2,116609,1,11
11,17,1,36462,4,116005,1,11
11,18,2,37018,5,116801,1,11
11,19,1,37003,5,117800,1,11
11,20,0,36754,5,118818,1,11
11,21,1,36282,7,120249,1,11
11,22,1,36301,5,121538,1,11
11,23,0,35778,6,122653,1,11
11,24,1,35257,6,124141,1,11
11,25,1,35286,6,125898,1,11
11,26,1,35266,9,128482,1,11
11,27,1,35295,8,131157,1,11
11,28,1,35317,5,133153,1,11
11,29,1,35307,3,133305,1,11
11,30,1,35357,3,133000,1,11
11,31,1,35378,3,132347,1,11
11,32,2,35429,1,131135,1,11
11,33,2,35940,1,129839,1,11
11,34,1,36223,2,128457,1,11
11,35,1,36186,2,127657,1,11
11,36,0,36045,2,126833,1,11
11,37,0,35488,2,125946,1,11
11,38,0,34953,2,125062,1,11
11,39,0,34426,2,124349,1,11
11,40,0,33922,3,123709,1,11
11,41,0,33412,3,123455,1,11
11,42,0,32888,1,122639,1,11
11,43,0,32399,1,121252,1,11
11,44,0,31934,0,119576,1,11
11,45,0,31446,0,117713,1,11
11,46,0,30979,1,116136,1,11
11,47,1,30888,2,115165,1,11
11,48,1,30767,2,114523,1,11
12,0,0,13825,0,54518,1,12
12,1,0,13615,1,53850,1,12
12,2,0,13423,3,53939,1,12
12,3,0,13232,3,54779,1,12
12,4,0,13016,3,55609,1,12
12,5,1,13063,2,56120,1,12
12,6,1,13372,2,56326,1,12
12,7,1,13755,2,56554,1,12
12,8,1,14117,2,56765,1,12
12,9,1,14508,3,57303,1,12
12,10,0,14813,3,58110,1,12
12,11,0,14556,4,59419,1,12
12,12,0,14338,4,60734,1,12
12,13,0,14097,3,61654,1,12
12,14,1,14343,4,62535,1,12
12,15,1,14695,4,63822,1,12
12,16,1,15023,5,65454,1,12
12,17,1,15360,5,67182,1,12
12,18,1,15715,6,69758,1,12
12,19,1,16033,6,71844,1,12
12,20,2,16417,4,73689,1,12
12,21,2,17270,3,74615,1,12
12,22,2,18116,2,74916,1,12
12,23,2,19008,3,74966,1,12
12,24,2,19815,2,75384,1,12
12,25,1,20093,2,75344,1,12
12,26,2,20831,2,75287,1,12
12,27,2,21676,1,74754,1,12
12,28,1,22440,2,74411,1,12
12,29,1,22682,2,74376,1,12
12,30,1,22849,3,74669,1,12
12,31,1,23082,2,74713,1,12
12,32,1,23332,2,74680,1,12
12,33,0,23138,2,74633,1,12
12,34,0,22755,3,74689,1,12
12,35,0,22399,2,74845,1,12
12,36,0,22063,3,74933,1,12
12,37,3,22654,2,74995,1,12
12,38,2,23630,3,75083,1,12
12,39,2,24442,2,75470,1,12
12,40,2,25221,2,75403,1,12
12,41,2,26030,3,75528,1,12
12,42,1,26648,2,76067,1,12
12,43,1,26838,2,75984,1,12
12,44,1,26945,2,75959,1,12
12,45,1,27094,1,75506,1,12
12,46,2,27573,2,75220,1,12
12,47,2,28321,2,75169,1,12
12,48,1,28677,1,74768,1,12
13,0,1,18283,3,55380,1,13
13,1,0,18402,3,56297,1,13
13,2,0,18127,2,56766,1,13
13,3,0,17830,2,56989,1,13
13,4,0,17568,1,57155,1,13
13,5,0,17284,3,57391,1,13
13,6,0,17010,2,57732,1,13
13,7,0,16762,2,57953,1,13
13,8,0,16505,2,58106,1,13
13,9,0,16236,2,58251,1,13
13,10,0,15950,2,58549,1,13
13,11,0,15692,2,58729,1,13
13,12,0,15452,2,58999,1,13
13,13,0,15233,1,59033,1,13
13,14,0,14976,3,59042,1,13
13,15,0,14735,2,59550,1,13
13,16,0,14501,1,59453,1,13
13,17,1,14532,1,59082,1,13
13,18,1,14889,2,58917,1,13
13,19,0,14742,2,59071,1,13
13,20,1,14784,1,58915,1,13
13,21,1,15053,1,58602,1,13
13,22,0,15052,1,58294,1,13
13,23,0,14843,1,57958,1,13
13,24,3,15536,1,57782,1,13
13,25,2,16602,1,57461,1,13
13,26,2,17486,0,56785,1,13
13,27,2,18356,1,56248,1,13
13,28,1,18838,1,55926,1,13
13,29,2,19317,2,56136,1,13
13,30,2,20146,4,57119,1,13
13,31,2,20893,4,58509,1,13
13,32,2,21685,4,59433,1,13
13,33,2,22527,4,60814,1,13
13,34,2,23283,3,61575,1,13
13,35,2,24060,3,62387,1,13
13,36,2,24704,4,62856,1,13
13,37,2,25404,4,64050,1,13
13,38,2,26098,4,65032,1,13
13,39,3,27387,5,66830,1,13
13,40,3,28656,5,68495,1,13
13,41,3,29880,5,70188,1,13
13,42,4,31232,6,72334,1,13
13,43,4,32962,7,74999,1,13
13,44,3,34272,6,77280,1,13
13,45,3,35493,3,77828,1,13
13,46,3,36628,4,78428,1,13
13,47,2,37445,3,79215,1,13
13,48,2,38014,5,80274,1,13
14,0,0,9237,0,47195,1,14
14,1,0,9080,0,46498,1,14
14,2,0,8957,0,45775,1,14
14,3,0,8821,0,45083,1,14
14,4,0,8684,0,44352,1,14
14,5,0,8557,0,43701,1,14
14,6,0,8401,0,43042,1,14
14,7,0,8262,0,42402,1,14
14,8,0,8130,0,41749,1,14
14,9,0,7994,0,41151,1,14
14,10,1,7938,0,40509,1,14
14,11,1,8343,0,39880,1,14
14,12,1,8810,0,39303,1,14
14,13,1,9209,0,38672,1,14
14,14,1,9607,0,38077,1,14
14,15,1,10031,0,37466,1,14
14,16,1,10439,0,36888,1,14
14,17,1,10886,0,36310,1,14
14,18,1,11255,0,35745,1,14
14,19,1,11607,0,35244,1,14
14,20,1,11982,0,34682,1,14
14,21,1,12348,0,34148,1,14
14,22,1,12669,0,33624,1,14
14,23,1,13048,0,33075,1,14
14,24,1,13450,0,32562,1,14
14,25,1,13852,0,32066,1,14
14,26,1,14188,0,31613,1,14
14,27,0,14141,0,31131,1,14
14,28,0,13912,0,30635,1,14
14,29,1,13782,0,30125,1,14
14,30,1,14157,0,29695,1,14
14,31,1,14545,0,29238,1,14
14,32,1,14832,1,28757,1,14
14,33,0,14713,3,29972,1,14
14,34,0,14850,3,31238,1,14
14,35,0,14614,2,32458,1,14
14,36,0,14406,1,32716,1,14
14,37,0,14187,1,32796,1,14
14,38,3,15298,1,32837,1,14
14,39,3,16688,1,32912,1,14
14,40,3,17997,1,32978,1,14
14,41,3,19364,1,33008,1,14
14,42,4,21250,1,33039,1,14
14,43,4,23101,2,33204,1,14
14,44,4,25024,2,33747,1,14
14,45,4,26929,3,34624,1,14
14,46,2,28238,3,35735,1,14
14,47,1,28772,4,37219,1,14
14,48,1,28887,2,38330,1,14
15,0,0,23905,4,48849,1,15
15,1,0,23518,5,50542,1,15
15,2,0,23128,3,52125,1,15
15,3,0,22823,2,52778,1,15
15,4,0,22441,1,52651,1,15
15,5,0,22106,1,52369,1,15
15,6,0,21798,1,52093,1,15
15,7,0,21430,1,51819,1,15
15,8,0,21093,2,51478,1,15
15,9,0,20793,3,52341,1,15
15,10,0,20480,2,53085,1,15
15,11,1,20419,2,53411,1,15
15,12,1,20656,2,53770,1,15
15,13,1,20919,2,54088,1,15
15,14,1,21139,2,54469,1,15
15,15,2,21543,3,54797,1,15
15,16,3,22515,2,55542,1,15
15,17,3,23856,2,55820,1,15
15,18,2,24746,2,56076,1,15
15,19,2,25552,2,56211,1,15
15,20,2,26434,1,56047,1,15
15,21,2,27108,1,55775,1,15
15,22,1,27354,1,55336,1,15
15,23,1,27471,1,55022,1,15
15,24,1,27634,1,54769,1,15
15,25,1,27756,3,54806,1,15
